001,フシギダネ
002,フシギソウ
003,フシギバナ
004,ヒトカゲ
005,リザード
006,リザードン
007,ゼニガメ
008,カメール
009,カメックス
010,キャタピー
011,トランセル
012,バタフリー
013,ビードル
014,コクーン
015,スピアー
016,ポッポ
017,ピジョン
018,ピジョット
019,コラッタ
020,ラッタ
021,オニスズメ
022,オニドリル
023,アーボ
024,アーボック
025,ピカチュウ
026,ライチュウ
027,サンド
028,サンドパン
029,ニドラン♀
030,ニドリーナ
031,ニドクイン
032,ニドラン♂
033,ニドリーノ
034,ニドキング
035,ピッピ
036,ピクシー
037,ロコン
038,キュウコン
039,プリン
040,プクリン
041,ズバット
042,ゴルバット
043,ナゾノクサ
044,クサイハナ
045,ラフレシア
046,パラス
047,パラセクト
048,コンパン
049,モルフォン
050,ディグダ
051,ダグトリオ
052,ニャース
053,ペルシアン
054,コダック
055,ゴルダック
056,マンキー
057,オコリザル
058,ガーディ
059,ウインディ
060,ニョロモ
061,ニョロゾ
062,ニョロボン
063,ケーシィ
064,ユンゲラー
065,フーディン
066,ワンリキー
067,ゴーリキー
068,カイリキー
069,マダツボミ
070,ウツドン
071,ウツボット
072,メノクラゲ
073,ドククラゲ
074,イシツブテ
075,ゴローン
076,ゴローニャ
077,ポニータ
078,ギャロップ
079,ヤドン
080,ヤドラン
081,コイル
082,レアコイル
083,カモネギ
084,ドードー
085,ドードリオ
086,パウワウ
087,ジュゴン
088,ベトベター
089,ベトベトン
090,シェルダー
091,パルシェン
092,ゴース
093,ゴースト
094,ゲンガー
095,イワーク
096,スリープ
097,スリーパー
098,クラブ
099,キングラー
100,ビリリダマ
101,マルマイン
102,タマタマ
103,ナッシー
104,カラカラ
105,ガラガラ
106,サワムラー
107,エビワラー
108,ベロリンガ
109,ドガース
110,マタドガス
111,サイホーン
112,サイドン
113,ラッキー
114,モンジャラ
115,ガルーラ
116,タッツー
117,シードラ
118,トサキント
119,アズマオウ
120,ヒトデマン
121,スターミー
122,バリヤード
123,ストライク
124,ルージュラ
125,エレブー
126,ブーバー
127,カイロス
128,ケンタロス
129,コイキング
130,ギャラドス
131,ラプラス
132,メタモン
133,イーブイ
134,シャワーズ
135,サンダース
136,ブースター
137,ポリゴン
138,オムナイト
139,オムスター
140,カブト
141,カブトプス
142,プテラ
143,カビゴン
144,フリーザー
145,サンダー
146,ファイヤー
147,ミニリュウ
148,ハクリュウ
149,カイリュー
150,ミュウツー
151,ミュウ
152,チコリータ
153,ベイリーフ
154,メガニウム
155,ヒノアラシ
156,マグマラシ
157,バクフーン
158,ワニノコ
159,アリゲイツ
160,オーダイル
161,オタチ
162,オオタチ
163,ホーホー
164,ヨルノズク
165,レディバ
166,レディアン
167,イトマル
168,アリアドス
169,クロバット
170,チョンチー
171,ランターン
172,ピチュー
173,ピィ
174,ププリン
175,トゲピー
176,トゲチック
177,ネイティ
178,ネイティオ
179,メリープ
180,モココ
181,デンリュウ
182,キレイハナ
183,マリル
184,マリルリ
185,ウソッキー
186,ニョロトノ
187,ハネッコ
188,ポポッコ
189,ワタッコ
190,エイパム
191,ヒマナッツ
192,キマワリ
193,ヤンヤンマ
194,ウパー
195,ヌオー
196,エーフィ
197,ブラッキー
198,ヤミカラス
199,ヤドキング
200,ムウマ
201,アンノーン
202,ソーナンス
203,キリンリキ
204,クヌギダマ
205,フォレトス
206,ノコッチ
207,グライガー
208,ハガネール
209,ブルー
210,グランブル
211,ハリーセン
212,ハッサム
213,ツボツボ
214,へラクロス
215,ニューラ
216,ヒメグマ
217,リングマ
218,マグマッグ
219,マグカルゴ
220,ウリムー
221,イノムー
222,サニーゴ
223,テッポウオ
224,オクタン
225,デリバード
226,マンタイン
227,エアームド
228,デルビル
229,ヘルガー
230,キングドラ
231,ゴマゾウ
232,ドンファン
233,ポリゴン２
234,オドシシ
235,ドーブル
236,バルキー
237,カポエラー
238,ムチュール
239,エレキッド
240,ブビィ
241,ミルタンク
242,ハピナス
243,ライコウ
244,エンテイ
245,スイクン
246,ヨーギラス
247,サナギラス
248,バンギラス
249,ルギア
250,ホウオウ
251,セレビィ
